Family,Genus,Subgenus,Species,Author,Date,Parentheses (1=author & date in parentheses),Citation,Pages,Common Name,,Home Range,Island? Y/N
Pteropodidae,Acerodon,,celebensis,Peters,1867,1,Monatsb. K. Preuss. Akad. Wiss. Berlin,1867: 333,Sulawesi Fruit Bat,,,
Pteropodidae,Acerodon,,humilis,K. Andersen,1909,0,Ann. Mag. Nat. Hist.,"ser. 7, 3: 24-25",Talaud Fruit Bat,,,
Pteropodidae,Acerodon,,jubatus,Eschscholtz,1831,1,Zool. Atlas,Part 4: 1,Golden-capped Fruit Bat,,,
Pteropodidae,Acerodon,,leucotis,Sanborn,1950,1,Proc. Biol. Soc. Wash.,63: 189,Palawan Fruit Bat,,,
Pteropodidae,Acerodon,,mackloti,Temminck,1837,1,Monogr. Mamm.,0.13125,Sunda Fruit Bat,,,
Pteropodidae,Aethalops,,aequalis,G. M. Allen,1938,0,J. Mammal.,1.136805556,Borneo Fruit Bat,,,
Pteropodidae,Aethalops,,alecto,Thomas,1923,1,Ann. Mag. Nat. Hist.,"ser. 9, 11: 251",Pygmy Fruit Bat,,,
Pteropodidae,Alionycteris,,paucidentata,Kock,1969,0,Senckenberg. Biol.,50: 322,Mindanao Pygmy Fruit Bat,,,
Pteropodidae,Aproteles,,bulmerae,Menzies,1977,0,Aust. J. Zool.,25: 331,Bulmer's Fruit Bat,,,
Pteropodidae,Balionycteris,,maculata,Thomas,1893,1,Ann. Mag. Nat. Hist.,"ser. 6, 11: 341",Spotted-winged Fruit Bat,,,
Pteropodidae,Balionycteris,,seimundi,Kloss,1921,0,J. Fed. Malay St. Mus.,0.575694444,Malayan Spotted-winged Fruit Bat,,,
Pteropodidae,Boneia,Boneia,bidens,Jentink,1879,1,Notes Leyden Mus.,0.122916667,Manado Rousette,,,
Pteropodidae,Casinycteris,,argynnis,Thomas,1910,0,Ann. Mag. Nat. Hist.,"ser. 8, 6: 111",Golden Short-palated Fruit Bat,,,
Pteropodidae,Casinycteris,,campomaanensis,Hassanin,2014,0,C. R. Biologie,337(2014): 137,Campo-Ma'an Fruit Bat,,,
Pteropodidae,Casinycteris,,ophiodon,Pohle,1943,0,Sitzb. Ges. Naturf. Fr. Berlin,p. 76,Pohle's Fruit Bat,,,
Pteropodidae,Chironax,,melanocephalus,Temminck,1825,1,Monogr. Mamm.,0.173611111,Black-capped Fruit Bat,,,
Pteropodidae,Cynopterus,,brachyotis,M&uuml;ller,1838,1,Tijdschr. Nat. Gesch. Physiol.,0.309722222,Lesser Short-nosed Fruit Bat,,,
Pteropodidae,Cynopterus,,horsfieldii,Gray,1843,0,List Specimens Mamm. Coll. Brit. Mus.,p. 38,Horsfield&apos;s Fruit Bat,,,
Pteropodidae,Cynopterus,,luzoniensis,Peters,1861,1,Monatsb. K. Preuss. Akad. Wiss.,1861: 708,Peters&apos;s Fruit Bat,,,
Pteropodidae,Cynopterus,,minutus,Miller,1906,0,Proc. Biol. Soc. Wash.,0.835416667,Minute Fruit Bat,,,
Pteropodidae,Cynopterus,,nusatenggara,Kitchener & Maharadatunkamsi,1991,0,Rec. West. Aust. Mus.,0.841666667,Nusatenggara Short-nosed Fruit Bat,,,
Pteropodidae,Cynopterus,,sphinx,Vahl,1797,1,Skr. Nat. Selsk. Copenhagen,4(1): 123,Greater Short-nosed Fruit Bat,,,
Pteropodidae,Cynopterus,,titthaecheilus,Temminck,1825,1,Monogr. Mamm.,0.179166667,Indonesian Short-nosed Fruit Bat,,,
Pteropodidae,Desmalopex,,leucopterus,Temminck,1853,1,Esquisses Zool. sur la C&ocirc;te de Guine,p. 60,White-winged Flying Fox,,,
Pteropodidae,Desmalopex,,microleucopterus,"Esselstyn, Garcia, Saulog & Heaney",2008,0,J. Mammal.,89(4): 817,Mindoro Pallid Flying Fox,,,
